date,NIR,NDA,gov_account,banks_net,repo_total,repo_main,repo_long,repo_fine,repo_lombard,fx_swap_attract,deposits,deposit_auctions,reverse_repo,fx_swap_alloc,securities_issued,other_net,monetary_base,currency_outside_cba,corr_dram,corr_fx,other_banks_dram,other_banks_fx,other_residents,other_dram,other_fx
2025-07-01,1216511.7179887,979095.65306416,-604526.2826579,1163945.9931843,863704.733176,625733.858181,NA,237970.874995,NA,NA,NA,NA,NA,NA,NA,419675.94253776,2195607.3710529,1012301.0925568,659974.6676098,506757.0815572,1.2926046,166.4699819,8618.1859586,7788.580784,16406.7667426
2025-07-02,1203507.4151115,622642.3818994,-564778.5869309,765293.9424032,465000,465000,NA,NA,NA,NA,NA,NA,NA,NA,NA,422127.0264271,1826149.7970109,1016588.8062858,295714.0709162,500105.3943354,1.2926046,165.939318,8747.1889535,4827.1045974,13574.2935509
2025-07-03,1222047.9229591,631680.06204898,-555209.8924404,765436.8193677,465090.185046,465090.185046,NA,NA,NA,NA,NA,NA,NA,NA,NA,421453.13512168,1853727.9850081,1022827.4727936,298386.0834781,517168.5696938,1.2926046,166.0296589,8810.5494308,6367.9873483,15178.5367791
2025-07-04,1221443.4055654,648639.57420475,-538137.8661161,758578.6990127,465180.370095,465180.370095,NA,NA,NA,NA,7001.0068493,NA,NA,NA,NA,428198.74130815,1870082.9797701,1031028.5097156,303580.0222286,517028.8630787,1.3426046,166.0395684,11069.7688982,7208.433676,18278.2025742
2025-07-07,1217705.9410857,664642.86108279,-529974.1140155,765984.2712225,465450.925236,465450.925236,NA,NA,NA,NA,NA,NA,NA,NA,NA,428632.70387579,1882348.8021685,1035709.9365156,317192.1413888,514599.4307823,1.3415396,165.7764761,7614.0188209,7066.1566452,14680.1754661
2025-07-08,1224767.3069994,661435.87810504,-521943.4443943,754203.8029779,465541.110286,465541.110286,NA,NA,NA,NA,7001.0068493,NA,NA,NA,NA,429175.51952144,1886203.1851044,1039206.5109858,333706.2197286,499041.170134,1.3393401,165.8358452,7655.1921956,6426.9168751,14082.1090707
2025-07-09,1232156.9207167,589869.45502014,-614157.1828445,773714.6997479,485000,485000,NA,NA,NA,NA,7001.0068493,NA,NA,NA,NA,430311.93811674,1822026.3757368,1041505.6260278,259858.6875243,507095.7072654,1.3371406,88.815098,7701.9074673,5774.2952134,13476.2026807
2025-07-10,1231677.8360617,595498.10949709,-610668.9369594,774854.7076956,485094.087482,485094.087482,NA,NA,NA,NA,6000.8630137,NA,NA,NA,NA,431312.3387609,1827175.9455588,1045052.9361078,263285.8853768,506606.6780524,1.3371406,88.9220997,6531.2265601,5608.9602214,12140.1867815
2025-07-11,1245841.4572139,590852.24910542,-610012.1016074,769068.3086207,485188.174958,485188.174958,NA,NA,NA,NA,14802.1287671,NA,NA,NA,NA,431796.04209212,1836693.7063193,1048076.4785778,270037.3151946,505655.0802777,1.3371406,88.8169756,6928.6237541,5906.0543989,12834.678153
2025-07-14,1266205.8671812,566324.48849556,-613808.6944177,749262.620632,485470.437398,485470.437398,NA,NA,NA,NA,37005.3219177,NA,NA,NA,NA,430870.56228126,1832530.3556768,1053562.2522808,240682.1068511,525263.5510729,1.3350884,98.451095,6201.3061839,6721.3531047,12922.6592886
2025-07-15,1270378.0413771,543502.11419035,-611558.1499357,724040.6193499,487599.524878,485564.524878,NA,NA,2035,NA,64409.2630135,NA,NA,NA,NA,431019.64477615,1813880.1555675,1052175.8300508,210080.1777898,534297.9997315,1.3330542,98.4144186,7653.8514246,9572.549098,17226.4005226
2025-07-16,1259203.8212975,735078.717975,-618247.6793404,920903.2193896,620000,620000,NA,NA,NA,NA,NA,NA,NA,NA,NA,432423.1779258,1994282.5392725,1053494.3852208,399054.9568245,528331.2556704,1.3330542,98.095692,7636.8898914,5665.6229192,13302.5128106
2025-07-17,1255476.2408887,723246.05830679,-629601.2306115,921200.735101,620120.174136,620120.174136,NA,NA,NA,NA,NA,NA,NA,NA,NA,431646.55381729,1978722.2991955,1053459.5955438,402024.5335104,509882.0708943,1.3330542,97.9912062,7684.3915979,5572.3833887,13256.7749866
2025-07-18,1252420.899351,691632.43514125,-661151.4973317,922853.5456165,620240.348277,620240.348277,NA,NA,NA,NA,NA,NA,NA,NA,NA,429930.38685645,1944053.3344923,1054201.4466238,372392.4980678,505077.6517958,1.3372879,98.2413205,6692.5442276,5589.6151689,12282.1593965
2025-07-21,1253602.6137404,660181.00432896,-693551.0042646,923331.7701547,620600.870693,620600.870693,NA,NA,NA,NA,NA,NA,NA,NA,NA,430400.23843886,1913783.6180694,1054550.1620338,337858.2864343,506476.0156711,1.3334689,98.1876687,9358.9958637,5440.6369289,14799.6327926
2025-07-22,1258239.4909305,647101.5598424,-705052.7086883,923505.1437195,620721.044829,620721.044829,NA,NA,NA,NA,NA,NA,NA,NA,NA,428649.1248112,1905341.0507729,1049817.8033883,336869.6613034,504649.7937779,1.3219574,98.4570317,8695.5098561,5208.5034581,13904.0133142
2025-07-23,1259478.4043412,661959.97197039,-703110.0104897,935837.307954,633000,620000,NA,NA,13000,NA,NA,NA,NA,NA,NA,429232.67450609,1921438.3763116,1045985.5720816,353594.4431509,499438.3927303,1.3219574,98.5102667,11297.7036176,11022.4325071,22320.1361247
2025-07-24,1245151.9117383,702249.57860654,-700216.2053108,972955.337105,670120.27403,620120.27403,NA,50000,NA,NA,NA,NA,NA,NA,NA,429510.44681234,1947401.4903448,1042189.3096616,390174.0841204,494373.7942409,1.3219574,98.5138581,8734.3524047,11830.1141017,20564.4665064
2025-07-25,1244198.4260227,712180.55826107,-689685.4459835,972482.5294193,670250.225212,620240.548053,NA,50009.677159,NA,NA,NA,NA,NA,NA,NA,429383.47482527,1956378.9842838,1041515.781874,401993.2893808,493908.5018982,1.3210671,98.4911642,8087.3835552,10774.2153443,18861.5988995
2025-07-28,1246055.1840292,713405.82232426,-687913.4824737,973031.7724077,670640.078773,620601.370136,NA,50038.708637,NA,NA,NA,NA,NA,NA,NA,428287.53239026,1959461.0063535,1040119.3515658,404396.0222365,495095.2287316,1.3210671,111.5620768,9037.8156041,10699.7050716,19737.5206757
2025-07-29,1243090.7653938,684426.13506215,-694324.3493605,967122.4368603,670770.029957,620721.644163,NA,50048.385794,NA,NA,6000.8630137,NA,NA,NA,NA,411628.04756235,1927516.900456,1037908.5119926,378770.5289439,492274.3062991,1.3210671,111.1655917,6955.7560761,11495.3104855,18451.0665616
2025-07-30,1249680.2822589,654417.25157317,-696480.6927997,921405.4063787,626000,620000,NA,NA,6000,NA,7001.0068493,NA,NA,NA,NA,429492.53799417,1904097.5338321,1035858.3785466,350807.4343226,499589.9031269,1.3210671,111.0144245,6923.1105843,10806.3717601,17729.4823444
2025-07-31,1246765.8936472,658161.83871957,-691717.2998307,917579.2257468,620120.378754,620120.378754,NA,NA,NA,NA,5000.7191781,NA,NA,NA,NA,432299.91280347,1904927.7323668,1038563.7308256,343588.4364854,510832.0515738,1.3192976,72.2892776,6871.6474988,4998.257408,11869.9049068
2025-08-01,1223681.8186961,678534.02200084,-676630.5129141,922753.4862622,620240.757518,620240.757518,NA,NA,NA,NA,NA,NA,NA,NA,NA,432411.04865274,1902215.8406969,1049226.1545476,348827.0689478,492602.07872,1.317145,72.1577037,6741.0414466,4746.0221862,11487.0636328
2025-08-04,1244566.0069224,712780.20408829,-633802.2826703,918273.4488522,620601.893781,620601.893781,NA,NA,NA,NA,5000.7191781,NA,NA,NA,NA,428309.03790639,1957346.2110107,1054288.4665105,401194.2145728,489435.3161713,1.317145,72.8320042,6551.0764061,5802.9882008,12354.0646069
2025-08-05,1239940.3773333,727240.67365498,-621519.5282101,923907.0278326,620722.27254,620722.27254,NA,NA,NA,NA,NA,NA,NA,NA,NA,424853.17403248,1967181.0509883,1058768.6726805,411351.8164993,485418.4041587,1.3034749,72.7871355,6245.7090279,5322.3580115,11568.0670394
2025-08-06,1239251.1846063,717134.86406036,-615700.2345954,906237.0481643,610000,610000,NA,NA,NA,NA,7001.0068493,NA,NA,NA,NA,426598.05049146,1956386.0486667,1065199.7045105,391497.4678013,488517.557983,1.3034749,50.7060273,6124.245861,4995.0630087,11119.3088697
2025-08-07,1239315.1185281,730448.43515948,-600409.4018137,905399.1401274,610118.406949,610118.406949,NA,NA,NA,NA,8001.1506849,NA,NA,NA,NA,425458.69684578,1969763.5536876,1067585.1377637,403172.3608264,488028.3510512,1.2992044,50.8579052,6129.3059271,4796.2410096,10925.5469367
2025-08-08,1242520.8479972,725073.53228932,-597519.8088275,894659.2968764,610236.813901,610236.813901,NA,NA,NA,NA,19002.7328766,NA,NA,NA,NA,427934.04424042,1967594.3802865,1074742.9934377,388162.9240106,493422.0741763,1.2932305,50.7721975,6116.2230139,5098.10022,11214.3232339
2025-08-11,1242620.4637755,713365.73850123,-601214.0130336,887161.7325867,610592.03475,610592.03475,NA,NA,NA,NA,27003.8835616,NA,NA,NA,NA,427418.01894813,1955986.2022767,1076401.9513577,378771.9342378,492046.892588,1.2932305,50.7763895,3621.5842663,5091.7702069,8713.3544731995
2025-08-12,1249985.984101,699460.36377787,-605580.3950092,877682.5294171,610710.441701,610710.441701,NA,NA,NA,NA,37555.4010274,NA,NA,NA,NA,427358.22936997,1949446.3478789,1076021.6608777,366676.4619508,497945.1874353,1.2932305,50.7371246,3598.7115848,5152.2956752,8751.00726
2025-08-13,1251810.5827746,782114.91131063,-618213.0302685,974581.0030179,670000,670000,NA,NA,NA,NA,NA,NA,NA,NA,NA,425746.93856123,2033925.4940852,1074593.7215002,452027.0499415,498366.6639415,1.2866205,50.9345537,3695.3373953,5190.5001325,8885.8375277999
2025-08-14,1247702.4507502,780049.73682698,-620592.3372658,974764.5865401,670130.05956,670130.05956,NA,NA,NA,NA,NA,NA,NA,NA,NA,425877.48755268,2027752.1875772,1073715.8562202,448273.3625555,494243.1003949,1.2856002,62.3952619,5374.7999537,6081.3875908,11456.1875445
2025-08-15,1249696.7797912,789757.51474097,-615214.1024793,976415.6490086,670260.119117,670260.119117,NA,NA,NA,NA,NA,NA,NA,NA,NA,428555.96821167,2039454.2945322,1077856.5425702,463856.4152727,488000.7983185,1.2856002,62.3115086,5125.7693618,4551.1719002,9676.9412619996
2025-08-18,1248564.7906074,778158.67302671,-626181.1291541,976967.3574843,670650.297789,670650.297789,NA,NA,NA,NA,NA,NA,NA,NA,NA,427372.44469651,2026723.4636341,1075645.4759199,454574.8562449,486711.4848782,1.2856002,62.299951,5156.7825817,4571.2784582,9728.0610399
2025-08-19,1249374.8910917,742268.98661996,-663483.5075548,977151.2798235,670780.357347,670780.357347,NA,NA,NA,NA,NA,NA,NA,NA,NA,428601.21435126,1991643.8777117,1074328.3114924,418752.9448457,489208.1897814,1.2834893,62.2719551,4745.8127857,4545.0633621,9290.8761478
2025-08-20,1251209.9869411,658460.84529051,-711689.9036363,941406.2578353,635000,635000,NA,NA,NA,NA,NA,NA,NA,NA,NA,428744.49109151,1909670.8322316,1070275.3351324,341557.1083993,486293.5541147,1.2749577,62.1691132,6910.326032,4571.0644823,11481.3905143
2025-08-21,1252255.0476749,655531.72044217,-714514.5035674,941574.480784,635123.260568,635123.260568,NA,NA,NA,NA,NA,NA,NA,NA,NA,428471.74322557,1907786.7681171,1067922.7808899,341545.9457019,487440.3379076,1.2733913,62.1681699,5739.9924731,5074.2695834,10814.2620565
2025-08-22,1267039.6335553,656983.09088823,-713616.3028471,941744.4330703,635246.521136,635246.521136,NA,NA,NA,NA,NA,NA,NA,NA,NA,428854.96066503,1924022.7244435,1066669.1594899,358985.8003609,488086.9935399,1.2620537,62.0219211,5536.8680813,4680.6189967,10217.487078
2025-08-25,1271642.9461944,670655.3501784,-698618.5196923,942258.9259082,635616.302841,635616.302841,NA,NA,NA,NA,NA,NA,NA,NA,NA,427014.9439625,1942298.2963728,1061070.4624159,369192.3711623,489272.1937574,1.2620537,62.2425991,17906.5538164,4793.210568,22699.7643844
2025-08-26,1271856.2857801,667099.52326981,-702647.7833985,941087.4583523,635739.563409,635739.563409,NA,NA,NA,NA,NA,NA,NA,NA,NA,428659.84831601,1938955.8090499,1056386.043815,381126.5829452,491596.8642342,1.3620537,62.1209993,4956.8837574,4825.9512451,9782.8350025002
2025-08-27,1277744.637748,649604.93618988,-700114.1019851,922901.5854248,617500,615000,NA,NA,2500,NA,NA,NA,NA,NA,NA,426817.45275018,1927349.5739379,1053991.956611,380603.7823715,482836.8421952,1.3620537,61.9441094,5012.9475811,4840.739016,9853.6865971
2025-08-28,1289926.304391,718758.84561826,-703137.6936061,997574.7573726,692119.471733,615119.471733,NA,77000,NA,NA,NA,NA,NA,NA,NA,424321.78185176,2008685.1500093,1051811.2860558,455688.0857994,491016.4087161,1.3620537,104.7079094,4884.5437137,5178.7557612,10063.2994749
2025-08-29,1308049.3839977,725819.81617783,-698943.7789037,998137.6038876,692521.159192,615477.886939,NA,77043.272253,NA,NA,NA,NA,NA,NA,NA,426625.99119393,2033869.2001755,1056584.2289258,452960.8274808,514122.9042351,1.3620537,104.5655699,4969.924513,5125.3873972,10095.3119102
2025-09-01,1302795.5454234,745848.01557051,-669552.1110482,988823.8724282,692655.055011,615597.358672,NA,77057.696339,NA,NA,9501.3664384,NA,NA,NA,NA,426576.25419051,2048643.5609939,1059657.7423688,466368.0361877,511350.4241288,1.3505322,104.7599057,6148.3335184,5012.9143523,11161.2478707
2025-09-02,1275781.5849795,768174.42340259,-643459.1652417,990511.7329043,692788.950828,615716.830403,NA,77072.120425,NA,NA,8001.1506849,NA,NA,NA,NA,421121.85573999,2043956.0083821,1062592.4566988,484771.7414339,485282.89582,1.3505322,104.4921195,6148.8305325,5054.2412452,11203.0717777
2025-09-03,1265494.1048039,645555.52611411,-637356.0764362,855747.8992855,550000,550000,NA,NA,NA,NA,NA,NA,NA,NA,NA,427163.70326481,1911049.630918,1064070.9591088,355590.1181704,480192.9718361,1.3505322,104.500741,6128.1702485,4961.560281,11089.7305295
2025-09-04,1264052.0236556,646165.29218441,-625997.7492178,844895.25623010006,550106.854117,550106.854117,NA,NA,NA,NA,11001.5821918,NA,NA,NA,NA,427267.78517211,1910217.31584,1065293.0395368,350192.4051714,482922.1062878,1.3505322,104.3941721,6240.4870109,5463.5331288,11704.0201397
2025-09-05,1269335.6445863,652701.59845488,-618298.405107,845396.5937427,550213.708234,550213.708234,NA,NA,NA,NA,11001.5821918,NA,NA,NA,NA,425603.40981918,1922037.2430412,1072071.9914556,351557.744741,487294.024639,1.3505322,104.6557664,6239.8479336,4767.6279734,11007.475907
2025-09-08,1284970.1612776,655238.35464316,-615710.7498377,845875.6407244,550534.270583,550534.270583,NA,NA,NA,NA,11001.5821918,NA,NA,NA,NA,425073.46375646,1940208.5159208,1073875.0912556,364449.8014037,489908.7530308,1.3505322,104.6719836,5925.4975788,5943.3501361,11868.8477149
2025-09-09,1284530.6879457,656989.21773687,-612397.8386765,846036.3701341,550641.124698,550641.124698,NA,NA,NA,NA,11001.5821918,NA,NA,NA,NA,423350.68627927,1941519.9056826,1073079.6595437,368057.3737374,489248.6952298,1.3476176,104.8134745,6005.9654946,5022.050585,11028.0160796
2025-09-10,1273010.3851945,606182.8130145,-634663.778349,815449.1305015,520000,520000,NA,NA,NA,NA,11001.5821918,NA,NA,NA,NA,425397.460862,1879193.198209,1073885.2533047,306521.6534971,490135.3787111,1.3436893,104.4255245,3536.8104114,5008.3330709,8545.1434823
2025-09-11,1290967.8798933,607377.939914,-633945.7463761,816604.20929,520101.04012,520101.04012,NA,NA,NA,NA,10001.4383562,NA,NA,NA,NA,424719.4770001,1898345.8198073,1073253.8182277,328513.4132548,488553.7604812,1.3436893,104.4351507,3476.5825009,4442.4665027,7919.0490035999
2025-09-12,1296811.8937871,594022.77220987,-636080.395008,807755.6395439,520202.08024,520202.08024,NA,NA,NA,NA,19002.7328766,NA,NA,NA,NA,422347.52767397,1890834.665997,1076118.7590777,313194.1094278,492489.0306779,1.3458002,104.8478618,3571.2584913,5355.3146603,8926.5731516001
2025-09-15,1297068.8830705,582158.73966595,-636825.4715362,796218.8051653,520505.200597,520505.200597,NA,NA,NA,NA,31004.4589041,NA,NA,NA,NA,422765.40603685,1879227.6227364,1074552.2274357,296343.6101855,497466.9632932,1.3442615,116.3811563,5086.0161595,5661.0802447,10747.0964042
2025-09-16,1296783.4549974,530545.4880058,-631779.7187451,740383.4454979,520606.240717,520606.240717,NA,NA,NA,NA,86992.5108218,NA,NA,NA,NA,421941.761253,1827328.9430032,1071226.2419788,244798.3621235,500149.0452917,1.3442615,97.4056383,5293.8206913,5762.7230181,11056.5437094
2025-09-17,1287638.6962,708645.70854682,-635010.2958002,924694.3263067,617900,617900,NA,NA,NA,NA,NA,NA,NA,NA,NA,418961.67804032,1996284.4047468,1069555.7115888,423121.5615558,492111.9416275,1.3402885,135.7414503,5294.4919011,6063.6163348,11358.1082359
2025-09-18,1292794.7729828,686006.52336892,-662172.315223,924830.396478,618020.058685,618020.058685,NA,NA,NA,NA,NA,NA,NA,NA,NA,423348.44211392,1978801.2963517,1068180.8257676,400575.4948444,498759.9142234,1.3402885,135.624554,5034.9202794,6113.1763944,11148.0966738
2025-09-19,1312747.3286981,645109.82117627,-704272.8634762,927024.708768,618140.117363,618140.117363,NA,NA,NA,NA,NA,NA,NA,NA,NA,422357.97588447,1957857.1498744,1070941.5231976,374525.6380442,500294.0943216,1.3355707000000001,135.4365734,6218.1836195,5740.9385474,11959.1221669
2025-09-22,1308946.2291741,599688.6313357,-747709.241004,927543.945655,618500.293419,618500.293419,NA,NA,NA,NA,NA,NA,NA,NA,NA,419853.9266847,1908634.8605098,1069092.8640655,326579.2916596,497579.3499128,1.3355707000000001,168.4094771,9750.5761351,5463.033689,15213.6098241
2025-09-23,1292972.3397709,606457.03598295,-742132.9825202,927693.453226,618620.352102,618620.352102,NA,NA,NA,NA,NA,NA,NA,NA,NA,420896.56527715,1899429.3757539,1062479.0749098,324818.9312676,498751.9650802,1.4142623,168.2493061,7942.1791677,5267.5617602,13209.7409279
2025-09-24,1289528.1127303,863020.0274036,-741081.3962849,1181627.5518387,872500,625000,NA,247500,NA,NA,NA,NA,NA,NA,NA,422473.8718498,2152548.1401339,1056402.1010398,597529.1038271,485972.1172093,1.4113404,167.9962698,7907.882295,4567.5281525,12475.4104475
2025-09-25,1291485.4584204,867028.88532457,-734549.3130877,1181836.2346896,872668.983844,625122.374185,NA,247546.609659,NA,NA,NA,NA,NA,NA,NA,419741.96372267,2158514.343745,1054422.5177398,605240.1506137,487130.9023647,1.4113404,168.2867797,7041.5248805,4509.5500262,11551.074906699
2025-09-26,1290966.5506868,866999.11796852,-728769.8688485,1172491.0851021,872837.967689,625244.74837,NA,247593.219319,NA,NA,9001.2945205,NA,NA,NA,NA,423277.90171492,2157965.6686553,1054849.3434958,603007.1465455,488776.6328504,1.4113404,167.6120178,6968.0386228,4195.4837826,11163.5224054
2025-09-29,1294685.3078721,881115.6761447,-714466.9731895,1175161.4645988,873344.919221,625611.870925,NA,247733.048296,NA,NA,7001.0068493,NA,NA,NA,NA,420421.1847354,2175800.9840168,1054738.5985348,606920.6984673,490149.8456878,1.399982,167.9225131,18859.1981679,4963.3206639,23822.5188318
2025-09-30,1321918.7142634,891158.50918151,-703988.1790099,1175098.3296022,873513.903063,625734.245109,NA,247779.657954,NA,NA,7001.0068493,NA,NA,NA,NA,420048.35858921,2213077.2234449,1053767.1073048,616202.7616894,531900.0249636,1.3980797,167.9702361,6553.7472347,4484.2139366,11037.961171301
2025-10-01,1295530.2220704,587396.71526513,-680268.3127099,848639.1174409,545000,485000,NA,60000,NA,NA,5000.7191781,NA,NA,NA,NA,419025.91053413,1882926.9373355,1055500.6575548,324397.4503435,490792.1473224,1.3980797,168.0042996,6628.86355,5438.4161855,12067.2797355
2025-10-02,1291681.4324,621525.73893741,-641111.8598602,844798.6756671,545105.720458,485094.281555,NA,60011.438903,NA,NA,9001.2945205,NA,NA,NA,NA,417838.92313051,1913207.1713374,1059791.5639517,353382.3035712,487976.1355033,1.8980797,168.3965393,6820.8430905,5066.0306017,11886.8736922
2025-10-03,1295096.4402396,620062.94865545,-639958.1631618,839958.09994,545211.440908,485188.563099,NA,60022.877809,NA,NA,14002.0136986,NA,NA,NA,NA,420063.01187725,1915159.388895,1069869.2042167,346157.5921229,488786.4335498,1.8980797,168.0510965,6024.8185458,4151.3912836,10176.2098294
2025-10-06,1293562.8540533,632439.59314452,-623875.7777387,837419.723608,545528.602272,485471.407752,NA,60057.19452,NA,NA,17002.4452054,NA,NA,NA,NA,418895.64727522,1926002.4471978,1075485.1501808,351855.8400148,487728.4581864,1.8980797,167.5745685,6063.0181091,4700.5080585,10763.5261676
2025-10-07,1295927.222062,634581.75581023,-615505.8205675,831579.0404247,545634.322727,485565.689302,NA,60068.633425,NA,NA,23003.3082191,NA,NA,NA,NA,418508.53595303,1930508.9778722,1076528.9448558,348925.7033826,492833.8518223,1.8877469,167.7082885,5123.2198521,6927.661924,12050.8817761
2025-10-08,1293472.3603056,533179.40159132,-606910.3515665,722001.2006704,422000,415000,NA,NA,7000,NA,9001.2945205,NA,NA,NA,NA,418088.55248742,1826651.7618969,1077480.3965738,245902.9525733,492098.3096317,1.8852716,167.6102769,5158.6399397,5841.9676299,11000.6075696
2025-10-09,1298966.9996767,529279.46048154,-606652.4113569,717136.6001452,415080.632633,415080.632633,NA,NA,NA,NA,7001.0068493,NA,NA,NA,NA,418795.27169324,1828246.4601582,1080008.9886738,237695.2192592,499875.1023647,1.8852716,167.4588546,5103.2482913,5394.557443,10497.8057343
2025-10-10,1290476.8327517,539925.3401144,-589012.1054865,708713.7825751,415161.265263,415161.265263,NA,NA,NA,NA,6000.8630137,NA,NA,NA,NA,420223.6630258,1830402.1728661,1086497.1035718,222888.4547403,512204.2664345,1.8828555,167.319536,3634.2981754,5008.8475526,8643.1457279997
2025-10-13,1291751.0333629,544718.428895,-578957.1399508,704097.3826018,415403.163159,415403.163159,NA,NA,NA,NA,11001.5821918,NA,NA,NA,NA,419578.186244,1836469.4622579,1088864.6790718,225796.1522292,512756.8133951,1.8518418,167.39123,3573.0776213,5309.4968687,8882.5744899999
2025-10-14,1385670.962237,538662.22735548,-583541.427102,703330.5887596,415483.795789,415483.795789,NA,NA,NA,NA,12301.769178,NA,NA,NA,NA,418873.06569788,1924333.1895925,1088204.8332618,221183.963149,605929.7035831,1.8102524,167.3990304,3574.6795084,5270.8008074,8845.4803158
2025-10-15,1386531.561826,552897.63268538,-599505.2993681,734336.4377162,435000,375000,NA,60000,NA,NA,NA,NA,NA,NA,NA,418066.49433728,1939429.1945114,1087056.7976618,229770.4149495,612786.0100484,1.8072757,167.7709832,5303.7289902,4342.6646026,9646.3935928001
2025-10-16,1388995.3118023,537307.31789204,-615363.6380523,734591.8189711,435084.40305,375072.863606,NA,60011.539444,NA,NA,NA,NA,NA,NA,NA,418079.13697324,1926302.6296943,1086534.153143,213179.6642635,614692.5797945,1.8063877,167.8003179,5767.8308539,5958.7949338,11726.6257877
2025-10-17,1402131.8211262,524276.97603547,-627566.8070098,734858.385481,435168.806096,375145.727208,NA,60023.078888,NA,NA,NA,NA,NA,NA,NA,416985.39756427,1926408.7971617,1089388.954463,217254.2900247,610229.9143574,1.7993878,167.8898555,5241.3245885,4124.6244848,9365.9490733002
2025-10-20,1396043.2687716,467287.27805048,-670906.1827211,721803.1887964,435422.015243,375364.318023,NA,60057.69722,NA,NA,NA,NA,NA,NA,NA,416390.27197518,1863330.5468221,1089772.901335,156565.891093,604229.2403523,1.7993878,180.0390703,8153.0762516,4427.5993321,12580.6755837
2025-10-21,1395760.6359432,460014.43004817,-679452.9262335,722338.5781552,435506.418289,375437.181626,NA,60069.236663,NA,NA,NA,NA,NA,NA,NA,417128.77812647,1855775.0659914,1086242.7844376,152079.0712929,605404.8565253,1.7900922,217.8819988,7407.3580096,4421.323635,11828.6816446
2025-10-22,1395425.0381775,524440.89218379,-677322.9487346,784882.209165,498000,350000,NA,148000,NA,NA,NA,NA,NA,NA,NA,416881.63175339,1919865.9303613,1081419.8096539,217865.5923868,604707.5192885,1.7435256,217.7302565,10665.2846656,4988.2505844,15653.53525
2025-10-23,1412348.6439031,521128.48609772,-680460.8360183,785018.3188453,498096.043838,350068.093743,NA,148027.950095,NA,NA,NA,NA,NA,NA,NA,416571.00327072,1933477.1300008,1079164.2436339,238757.2553749,602945.2039201,1.7189957,278.2134852,7384.9383727,4945.5562183,12330.494591
2025-10-24,1413500.0951837,531034.18922086,-664547.0607819,780297.2995506,498192.087678,350136.18749,NA,148055.900188,NA,NA,5000.7191781,NA,NA,NA,NA,415283.95045216,1944534.2844046,1079215.3794139,242443.5862224,602539.1880812,1.7065258,278.7824854,15298.3121833,4757.3294926,20055.6416759
